site,cz_data
CLGSP00241A,use1mk001
OKOKC20053A,use2mk003
ATBHM00385A,use1mk001
ORTPA00430A,use1mk011-05
BOBOS00178A,use1mk002
STSPI00156A,use2mk003
NABNA00185A,use1mk003
ATATL00397A,use1mk011-06
PXRNM03001A,usw2mk001
LSSNA02040A,usw2mk011-02
PRPDX00404A,usw2mk011-01
PHPHL00003A,use1mk011-03
JKJAN00166A,use2mk004
CLCHS00002A,use1mk011-04
NJJER01952A,use1mk002
MWGRB00043A,use2mk004
ALALB00145A,use1mk003
DADAL00423A,use2mk002
JKTLH00244A,use1mk011-05
NJJER01832B,use1mk002
NASDF00079A,use2mk003
CVCLE00275A,use2mk001
PHPHL00519A,use1mk011-03
NJJER01972A,use1mk011-03
LALAX03041A,usw2mk011-03
KNTYS00125A,use1mk002
ORMCO00360A,use1mk003
NYNYC01140C,use1mk002
STSPI00130A,use2mk003
PHPHL00389A,use1mk011-03
CHCHI00531A,use2mk011-01
NYNYC01796A,use1mk011-02
CHCHI00645A,use2mk002
OKOKC00041A,use2mk003
CLCHS00122A,use1mk011-04
SCSAC00211B,usw2mk011-02
PXABQ00015A,usw2mk001
DADAL00293B,use2mk002
SESEA00142A,usw2mk011-02
LSSNA02160A,usw2mk011-02
SCMCA00089A,usw2mk001
NYNYC01926B,use1mk011-02
NYNYC01676B,use1mk011-02
MWMKE00232B,use2mk002
CLCLT00426A,use1mk001
DCWDC00142A,use1mk011-04
SFSFO00828B,usw2mk011-01
NJJER01852A,use1mk011-03
PHPHL00123A,use1mk011-03
HOHOU00187B,use2mk001
NYNYC01260D,use1mk002
ORMCO00240A,use1mk003
PHHAR00032A,use1mk001
CHCHI00807A,use2mk011-01
CHIND00358B,use2mk002
PHPHL00243A,use1mk011-03
MNDLH00020A,use2mk002
STSPI00010A,use2mk003
DCWDC00990C,use1mk011-04
DEDET00671B,use2mk002
NJJER01732D,use1mk011-03
CHCHI00651A,use2mk011-01
JKTLH00124B,use1mk011-05
CLCLT00306A,use1mk001
CVPIT00008A,use2mk011-02
CLCHS00242A,use1mk011-04
DADAL00543A,use2mk002
NYNYC01280D,use1mk011-02
CVCLE00395A,use2mk001
RIRIC00448A,use1mk002
NYNYC01536B,use1mk002
KNTYS00005A,use1mk002
NYNYC01260C,use1mk002
SDSAN00304F,usw2mk001
ATATL00527A,use1mk011-01
CLGSP00001A,use1mk001
CLCHS00128A,use1mk001
JKJAX00194A,use2mk004
KNTYS00365A,use1mk002
SEBIL00099A,usw2mk001
RIRVA00078A,use1mk002
NYNYC01510C,use1mk002
AUAUS00336A,use2mk004
SDSAN00424B,usw2mk001
NJJER01612B,use1mk011-03
OKOKC00067B,use2mk003
MNDLH00046A,use2mk002
PHHAR00058A,use1mk001
CVCVG00312B,use2mk011-01
PHPHL00149A,use1mk011-03
DCWDC00418A,use1mk011-04
SDLAS00037B,usw2mk001
CHCHI00677A,use2mk011-01
RIRIC00328A,use1mk002
BOBOS00761A,use1mk002
NJJER01712A,use1mk002
ATSAV00075A,use1mk001
CHIND00238A,use2mk002
KNAVL00162A,use1mk002
SLSLC00131C,usw2mk001
DEGRR00190A,use2mk011-01
CLFAY00394A,use1mk001
CVCLE00405A,use2mk001
JKJAN00140A,use2mk004
DADAL00303A,use2mk002
ATATL00143A,use1mk001
NJJER01998B,use1mk011-02
CHCHI00885B,use2mk002
ATATL00647B,use1mk011-01
MWGRB00069A,use2mk001
NASDF00053A,use2mk003
KNTYS00245A,use1mk002
SYSYR03009B,use1mk002
ATATL00767A,use1mk011-01
KNAVL00042A,use1mk002
ATATL00491A,use1mk011-06
PXELP00059A,usw2mk011-01
LSSNA00015A,usw2mk011-03
JKTLH00004A,use1mk011-05
RIRIC00208A,use1mk002
LSSNA03144B,usw2mk011-03
BOBOS00881A,use1mk002
DEGRR00200A,use2mk011-01
NYNYC01776A,use1mk002
DNDEN00186C,usw2mk001
SEGEG00125B,usw2mk001
ORMCO00480A,use1mk003
STSTL00184A,use2mk003
NYNYC01806A,use1mk011-02
LALAX04006B,usw2mk011-01
ATATL00419A,use1mk001
RIRIC00078B,use1mk002
PHPHL00482A,use1mk011-03
BOBOS00522A,use1mk002
NJJER01482A,use1mk011-03
LALAX00031A,usw2mk011-02
NASDF00052A,use2mk003
DNDEN00186D,usw2mk001
JKTLH00078A,use2mk004
SESEA00316B,usw2mk001
HOHOU00040A,use2mk001
DADAL00329A,use2mk002
LSSNA01118A,usw2mk011-03
JKTLH00198A,use2mk004
DNDEN00040A,usw2mk001
MNMSP00438A,use2mk002
DADAL00209A,use2mk002
HOHOU00160A,use2mk001
DEDET00697B,use2mk002
DEDET00431A,use2mk002
RIRIC00198A,use1mk002
NJJER01878B,use1mk011-03
SYSYR00084A,use1mk002
DCWDC00048A,use1mk011-04
CHCHI00437A,use2mk011-01
LSSNA03024A,usw2mk011-03
DNDEN00419A,usw2mk011-02
DADAL00449A,use2mk002
NJJER01758A,use1mk011-03
PXPHX00199A,usw2mk011-01
SDSAN00295A,usw2mk001
PXPHX00449B,usw2mk011-01
CLRDU00615A,use1mk001
DADAL00199A,use2mk002
JKMSY00007A,use2mk004
NJJER01242A,use1mk011-03
CLCAE00055A,use1mk001
MNMSP00042A,use2mk002
HOHOU00556A,use2mk001
NYNYC01990B,use1mk002
DEGRR00213A,use2mk002
NYNYC02125B,use1mk002
BOBDL00114A,use1mk002
NYNYC01041C,use1mk011-02
BOBOS00402A,use1mk002
DNDEN00049A,usw2mk011-02
LSSNA01238B,usw2mk011-02
OROCF00130A,use1mk003
ATATL00169A,use1mk001
DADAL00053C,use2mk002
CLFAY00250A,use1mk011-04
NYNYC01906C,use1mk002
ORTPA00228A,use1mk003
MNMSP00282A,use2mk002
SDSAN00264A,usw2mk011-04
DADAL00173A,use2mk002
SLSLC00158D,usw2mk001
SESEA00040C,usw2mk001
PHPHL00242A,use1mk011-03
SDSAN00055A,usw2mk001
CLCLT00057A,use1mk001
NASDF00172B,use2mk003
OKLIT00059A,use2mk003
BOBOS00788A,use1mk002
NJJER01518A,use1mk011-03
NYNYC01750A,use1mk002
OROCF00010A,use1mk003
JKMGM00240A,use1mk011-05
KNAVL00068A,use1mk002
CLCHS03018A,use1mk001
JKMSY00091A,use2mk004
JKJAN00021A,use2mk004
DEGRR00096A,use2mk011-01
KNTYS00006A,use1mk002
KCRMO00041B,use2mk004
NYNYC01896E,use1mk002
OKFYV00105A,use2mk003
CHCHI00161A,use2mk011-01
ATATL00658B,use1mk001
CVPIT00007B,use2mk011-02
MWGRB00042A,use2mk001
PHPHL00362A,use1mk011-03
NJJER01951A,use1mk002
HLHNL00094G,usw2mk011-01
AUAUS00456B,use2mk004
DCWDC00374B,use1mk003
CVCVG00178A,use2mk001
NYNYC01281C,use1mk011-02
BOBOS00642A,use1mk002
HOHOU00316B,use2mk001
AUCRP00060A,use2mk004
CVPIT00127A,use2mk011-02
NJJER01638B,use1mk011-03
JKMGM00120A,use1mk011-05
PHPHL00518A,use1mk011-03
SESEA00436A,usw2mk001
NYNYC02005A,use1mk002
SESEA00160A,usw2mk001
DNDEN00169B,usw2mk011-02
DCWDC00537A,use1mk011-04
CHCHI00317A,use2mk011-01
PXPHX00423A,usw2mk011-01
NJJER01362B,use1mk011-03
OKFYV00095A,use2mk003
ATABY00044A,use1mk001
SESEA00040D,usw2mk001
DEDET00551A,use2mk002
NYNYC01870A,use1mk002
ATATL00898A,use1mk001
CLRDU00245A,use1mk001
MNBIS00037A,use2mk002
KCDSM00019A,use2mk004
ORTPA00061A,use1mk011-05
PXRNM03002A,usw2mk001
NJJER01148C,use1mk011-03
CVCLE00155A,use2mk001
SCSAC00027A,usw2mk001
NABNA00065A,use1mk003
LSSNA01212A,usw2mk011-02
CLGSP00361A,use1mk001
OKLIT00033A,use2mk003
ORTPA00457A,use1mk011-05
NJJER01268A,use1mk011-03
HOHOU00650A,use2mk001
KCMCI00034B,use2mk004
KCMCI00274A,use2mk004
SCSAC03010A,usw2mk001
PXPHX00560B,usw2mk001
CLFAY00010A,use1mk011-04
JKRLA00225A,use2mk004
DNDEN00383A,usw2mk011-02
SYSYR00454A,use1mk002
NJJER01388A,use1mk011-03
HOHOU00530A,use2mk001
ATBHM00386A,use1mk001
NAMEM00413A,use1mk011-05
MWRWI00030A,use2mk001
DNDEN00410A,usw2mk001
ATATL00512A,use1mk001
DCWDC00657A,use1mk011-04
OROCF00156A,use1mk003
ATATL00398A,use1mk011-01
BOBOS00298A,use1mk002
BOBOS00428A,use1mk002
CVCLE00035A,use2mk001
RIRIC00567C,use1mk002
CVPIT00114A,use2mk001
ATATL00278A,use1mk011-01
PHPHL00725E,use1mk001
JKMSY00101A,use2mk004
CLRDU00365A,use1mk001
LALAX04710A,usw2mk011-02
JKRLA00095A,use2mk004
OKLIT00179B,use2mk003
BOHVN00187C,use1mk002
BOBOS00032A,use1mk002
NJJER01028B,use1mk011-03
AUAUS03052A,use2mk004
OROCF00036A,use1mk003
ATATL00012A,use1mk011-01
CVCVG00032A,use2mk001
BOBOS00308A,use1mk002
JKMGM00266A,use1mk011-05
CVCVG00063A,use2mk011-01
LALAX01015A,usw2mk011-02
JKRLA00105A,use2mk004
LALAX04220C,usw2mk011-02
AUAUS00430A,use2mk004
DNDEN00023C,usw2mk011-02
NJJER01368B,use1mk002
ORTPA00311A,use1mk011-05
ORTPA00217A,use1mk011-05
ATBHM00266B,use1mk001
JKJAN00047A,use2mk004
ATBHM00146A,use1mk001
ORMCO00147A,use1mk003
NAMEM00174A,use1mk003
BOBOS00272A,use1mk002
DADAL00079A,use2mk002
MWRWI00056A,use2mk004
DEDET00061A,use2mk002
NYNYC01187A,use1mk011-02
ATATL00158A,use1mk011-06
PXPHX00173A,usw2mk011-01
DCWDC00897A,use1mk011-04
NJJER01092B,use1mk002
JKMGM00146A,use1mk011-05
AUCRP00086A,use2mk004
SESEA00186A,usw2mk001
DNDEN00143B,usw2mk011-02
ATATL00038A,use1mk011-01
DCWDC00511A,use1mk011-04
JKJAX00115A,use1mk011-05
ORMCO00027A,use1mk003
ATBHM00026A,use1mk001
MNMSP00068A,use2mk002
BOBOS00392A,use1mk002
CHIND00451A,use2mk002
DEDET00577A,use2mk003
SLBOI03009A,usw2mk001
CVPIT00091B,use2mk011-02
OKLIT00153A,use2mk003
JKMGM00026A,use1mk011-05
ORTPA00337A,use1mk011-05
RIRIC00541A,use1mk002
ATATL00872A,use1mk001
BOBOS00548A,use1mk002
AUWCO03001B,use2mk004
PXPHX00440A,usw2mk001
MNMSP00055A,use2mk011-01
HOHOU00676A,use2mk001
DEDET00181A,use2mk003
KCOMA00028B,use2mk004
NYNYC01167A,use1mk002
DEDET00457A,use2mk002
SESEA00066B,usw2mk001
CLRDU00125A,use1mk001
BOBOS01016A,use1mk002
ORTPA00098A,use1mk003
DCWDC00624C,use1mk003
ORTPA00181A,use1mk011-05
DCWDC00631A,use1mk011-04
PHPHL00612A,use1mk011-03
NJJER01002A,use1mk011-03
MIMIA00425C,use1mk011-05
MNMSP00050A,use2mk011-01
DCWDC00016A,use1mk003
JKMGM00027A,use1mk011-05
JKJAN00147A,use2mk004
MWMKE00137A,use2mk002
RIRVA00053A,use1mk002
NABNA00216C,use1mk003
JKJAX00080B,use1mk011-05
STSPI00111B,use2mk003
NAMEM00303A,use1mk003
CLGSP00090A,use1mk001
NJJER01094A,use1mk011-03
MWMKE00017B,use2mk004
NYNYC02022B,use1mk011-02
SFSFO00573A,usw2mk011-01
LSSNA00016A,usw2mk011-02
PHPHL00014C,use1mk001
LSSNA02043A,usw2mk011-03
CLGSP00100A,use1mk001
SYSYR03004A,use1mk002
MNMSP00446A,use2mk011-01
JKJAN00027A,use2mk004
MNMSP00326A,use2mk011-01
STSTL00215A,use2mk003
ATATL00984A,use1mk011-01
DETOL00025A,use2mk002
SFSFO00453A,usw2mk011-01
NAMEM00141A,use1mk011-04
MNMSP00170A,use2mk011-01
BOBOS00059A,use1mk002
PXABQ00010B,usw2mk001
NYNYC01673C,use1mk011-02
CLGSP00220A,use1mk001
NYNYC02288A,use1mk011-02
SYSYR00472A,use1mk002
PXELP00030A,usw2mk011-01
ATATL00864B,use1mk011-06
DEGRR00221A,use2mk011-01
NYNYC01793A,use1mk011-02
CVCLE00278A,use2mk001
NAMEM00261A,use1mk011-04
KCOMA00001A,use2mk004
SYSYR00112A,use1mk002
SYSYR00508A,use1mk002
DEDET00065A,use2mk003
JKRLA00442A,use2mk004
LALAX04145A,usw2mk011-02
ALALB00120A,use1mk003
HLHNL00099B,usw2mk011-01
NABNA00086A,use1mk003
CLGSP00340A,use1mk001
MNMSP00196A,use2mk011-01
ATBHM00482B,use1mk001
NYNYC02168A,use1mk011-02
NJJER01345C,use1mk002
ATATL00380B,use1mk001
NJJER01224A,use1mk011-03
SESEA00167A,usw2mk001
SYSYR00498A,use1mk002
BOBOS00179A,use1mk002
DNDEN00381A,usw2mk011-02
PXELP00056A,usw2mk011-01
BOBOS00309A,use1mk002
CVCLE00398A,use2mk001
NJJER01104B,use1mk011-03
NAMEM00381A,use1mk011-05
MWRWI00051A,use2mk001
NYNYC01803A,use1mk011-02
CHIND00355A,use2mk002
CLGSP00006A,use1mk001
NJJER02054B,use1mk002
PRPDX00271A,usw2mk011-01
LSSNA02163C,usw2mk011-02
JKJAN00121A,use2mk004
NYNYC02048A,use1mk011-02
PHCPA00025A,use1mk001
SESEA00047C,usw2mk001
JKRLA00322A,use2mk004
MIMIA00208A,use1mk011-06
DNDEN00167B,usw2mk001
MWMKE00257A,use2mk004
MNDLH00041A,use2mk002
KNAVL00061A,use1mk002
NYNYC01923A,use1mk011-02
CHIND00235A,use2mk002
ATBHM00362A,use1mk001
NAOWB00006A,use2mk003
BOHVN00188B,use1mk002
STSTL00335A,use2mk003
CVCLE00408A,use2mk001
CLCHS00025A,use1mk011-04
PHPHL00026A,use1mk011-03
MWGRB00066A,use2mk001
JKMSY00108A,use2mk004
KNTYS00344A,use1mk002
MNMSP00435B,use2mk002
NASDF00154A,use2mk003
CVCVG00337A,use2mk011-02
SFSFO00083A,usw2mk011-01
MNDLH00067A,use2mk002
CVCMH00334A,use2mk001
PXPHX00641A,usw2mk011-01
CHCHI00294A,use2mk002
CHIND00115A,use2mk002
ORMCO00285A,use1mk003
ORTPA00463A,use1mk003
PXPHX00058A,usw2mk011-01
MWMKE00231A,use2mk001
NYNYC01433B,use1mk011-02
DEGRR00210A,use2mk002
CVPIT00009A,use2mk011-02
DADAL00544A,use2mk002
SLSLC10168C,usw2mk001
CLCLT00405A,use1mk001
CLCHS00145A,use1mk011-04
SLBOI03003A,usw2mk001
DCWDC00481A,use1mk011-04
KCRNE00061B,use2mk004
NYNYC01185A,use1mk002
CLCHS03012A,use1mk001
SEGEG00094B,usw2mk001
NASDF00034B,use2mk003
CVCLE00252B,use2mk001
CVCMH00454A,use2mk001
NYNYC02143A,use1mk002
ORMCO00165A,use1mk003
NYNYC01579C,use1mk011-02
AUAUS00335A,use2mk004
NYNYC01709A,use1mk011-02
RIRIC00391A,use1mk002
PHPHL00146A,use1mk011-03
ALALB00146A,use1mk003
PHPHL03000A,use1mk001
KNTYS00224A,use1mk002
OKFYV00109B,use2mk003
DETOL00036A,use2mk011-01
NAMEM00047A,use1mk011-04
SCSAC00256A,usw2mk011-02
CVCRW00146A,use2mk001
DNDEN00417A,usw2mk001
CLCHS00265A,use1mk011-04
CVCLE00372A,use2mk001
MWMKE00111A,use2mk004
JKMSY00098A,use2mk004
SDLAS00014A,usw2mk001
ATATL00504A,use1mk011-01
RIRIC00271A,use1mk002
BOBOS00762B,use1mk002
DADAL00304A,use2mk002
CLCLT00275A,use1mk001
CLFAY00495A,use1mk001
CLGSP00126A,use1mk001
DNDEN00141B,usw2mk001
CHCHI00544A,use2mk002
AUAUS00215A,use2mk004
KNAVL00087A,use1mk002
NJJER01955B,use1mk002
ATATL00624A,use1mk011-01
JKMSY00072A,use2mk004
NYNYC02262A,use1mk011-02
CVCMH00574A,use2mk001
CVCRW00120A,use2mk001
BOBOS00882A,use1mk002
NABNA00180A,use1mk003
CHCHI00510A,use2mk011-01
ATATL00286A,use1mk001
OKOKC00020A,use2mk003
NYNYC02023A,use1mk002
SLSLC00130A,usw2mk001
ORTPA00223A,use1mk003
PXABQ00036A,usw2mk001
DEGRR00091B,use2mk011-01
NABNA00060A,use1mk003
DEGRR00101A,use2mk011-01
DCWDC00121A,use1mk011-04
RIRVA00079A,use1mk002
LALAX00011A,usw2mk011-03
NAMEM00287A,use1mk011-04
PRPDX00521A,usw2mk011-01
CLFAY00391A,use1mk011-04
DADAL00424A,use2mk002
CLGSP00246A,use1mk001
SCMCA00064A,usw2mk001
NJJER01835B,use1mk002
NYNYC01315B,use1mk002
NYNYC02289A,use1mk002
SLBOI00018A,usw2mk001
ATATL00744A,use1mk011-06
OKFYV00099A,use2mk003
RIRIC00427A,use1mk002
DCWDC00518A,use1mk011-04
CLCLT00395A,use1mk001
OROCF00174A,use1mk003
NYNYC02142B,use1mk011-02
RIRIC00548A,use1mk002
LSSNA01085B,usw2mk011-02
DADAL00054A,use2mk002
CHCHI00664C,use2mk002
PXPHX00369B,usw2mk001
LSSNA03121A,usw2mk011-02
ATBHM00269A,use1mk001
JKRLA00098A,use2mk004
JKTLH00055A,use2mk004
SESEA00511A,usw2mk001
CLCLT00156A,use1mk001
CLRDU00614A,use1mk001
CVCVG00179A,use2mk001
NYNYC01435F,use1mk002
PXPHX00668A,usw2mk011-01
NJJER01833C,use1mk011-03
HOHOU00063A,use2mk001
NYNYC01805A,use1mk002
PXPHX00152A,usw2mk011-01
DNDEN00048B,usw2mk011-02
KCMCI00279A,use2mk004
CHCHI00656A,use2mk011-01
PXPHX00489A,usw2mk001
RIRIC00297B,use1mk002
MIMIA00302B,use1mk011-06
SESEA00381B,usw2mk001
BOBOS00763A,use1mk002
CHCHI00380A,use2mk011-01
LALAX03022A,usw2mk011-02
BOBOS00523B,use1mk002
NJJER01953A,use1mk011-03
AUWCO00002A,use2mk011-02
NYNYC01795C,use1mk002
HOHOU00459A,use2mk001
SEBIL00108A,usw2mk001
CHCHI00776A,use2mk011-01
HOHOU00183A,use2mk001
PHPHL00385B,use1mk011-03
PHPHL00515A,use1mk011-03
JKRLA00108A,use2mk004
MIMIA00422C,use1mk011-05
SESEA00048A,usw2mk011-02
NYNYC01675B,use1mk002
ORTPA00088A,use1mk011-05
DCWDC00638A,use1mk011-04
PXPHX00093A,usw2mk001
LSSNA03001A,usw2mk011-02
ATBHM00149A,use1mk001
CHCHI00140A,use2mk011-01
JKTLH00226A,use1mk011-05
CHCHI01006A,use2mk011-01
HOHOU00579B,use2mk001
DCWDC00758A,use1mk011-04
NYNYC01184A,use1mk011-02
KCDSM00014A,use2mk004
DEDET00674A,use2mk003
RIRIC00177B,use1mk002
LSSNA01215A,usw2mk011-02
SDSAN00370B,usw2mk001
DNDEN00288A,usw2mk011-02
ORTPA00489A,use1mk003
NYNYC01064B,use1mk011-02
BOBDL00213B,use1mk002
SYSYR00019A,use1mk002
OROCF00055A,use1mk003
DEGRR00236A,use2mk002
MNMSP00065A,use2mk002
SCRNO00016B,usw2mk001
OKOKC00046A,use2mk003
AUCRP00115A,use2mk004
BOBOS00883A,use1mk002
KCMCI00039A,use2mk004
CHCHI00784A,use2mk002
AUCRP03006B,use2mk004
SLSLC00037A,usw2mk001
DALBB00050A,use2mk002
NJJER01713A,use1mk011-03
HOHOU00219A,use2mk001
ORTPA00103A,use1mk003
PHPHL00145A,use1mk011-03
CLRDU00364A,use1mk001
CLCAE00196A,use1mk001
LALAX04755A,usw2mk011-03
PHHAR00077A,use1mk001
CLRDU00484A,use1mk001
DADAL00294A,use2mk002
DCWDC00878A,use1mk011-04
JKTLH00106A,use1mk011-05
KNTYS00225A,use1mk002
CVCRW00147A,use2mk001
SLSLC00157A,usw2mk001
OKLIT00134A,use2mk003
ORTPA00218A,use1mk011-05
RIRIC00522A,use1mk002
BOBOS00919A,use1mk002
SDSAN00406B,usw2mk001
PXPHX00178A,usw2mk011-01
MWGRB00065A,use2mk004
SCSAC00028A,usw2mk001
BOHVN00173A,use1mk011-01
PXPHX00642A,usw2mk011-01
DADAL00174A,use2mk002
SEGEG00105A,usw2mk001
KNTYS00095A,use1mk002
LSSNA03147A,usw2mk011-02
DEGRR00007A,use2mk011-01
SFSFO01161A,usw2mk011-01
LSSNA03027B,usw2mk011-02
NYNYC01314A,use1mk011-02
JKMGM00241A,use1mk011-05
KNTYS00105A,use1mk002
ATBHM00029A,use1mk001
OKFYV00072A,use2mk003
AUAUS00455A,use2mk004
DCWDC00375C,use1mk003
SEGEG00095B,usw2mk001
CHCHI00914A,use2mk002
SDSAN00130B,usw2mk001
PXPHX00583A,usw2mk001
NJJER01463A,use1mk011-03
CVCVG00273A,use2mk001
MWRWI00077A,use2mk004
BOBOS00549A,use1mk002
CHCHI00166A,use2mk011-01
CVCLE00132A,use2mk001
DCWDC00612B,use1mk011-04
CLFAY00135A,use1mk001
NJJER01105B,use1mk002
NJJER01859A,use1mk011-02
BOBOS00033A,use1mk002
JKMGM00121A,use1mk011-05
JKRLA00192A,use2mk004
HOHOU00673A,use2mk001
SCSAC00148A,usw2mk001
DNDEN00262A,usw2mk011-02
KCOMA00027B,use2mk004
LALAX04385A,usw2mk011-01
JKRLA00202A,use2mk004
DCWDC00495B,use1mk003
STSPI00138A,use2mk003
DATYR00062A,use2mk011-02
CLCAE00050A,use1mk001
HOHOU00553A,use2mk001
ATBHM00363A,use1mk001
SESEA00287C,usw2mk001
CLFAY00177A,use1mk011-04
CLRDU00124A,use1mk001
BOBDL00119A,use1mk002
ORTPA00312A,use1mk011-05
ATATL00375A,use1mk011-01
DEDET00184B,use2mk002
ATATL00255A,use1mk011-06
MIMIA00052A,use1mk011-05
MNMSP00076A,use2mk011-01
NJJER01739A,use1mk011-03
SDSAN00276A,usw2mk001
ORTPA00062A,use1mk011-05
JKMGM00001A,use1mk011-05
NJJER01103C,use1mk011-03
SESEA00021A,usw2mk001
JKRLA00072A,use2mk004
NJJER01583B,use1mk011-03
CLCAE00206A,use1mk001
CHCHI00046A,use2mk011-01
KCRMO00020A,use2mk004
NJJER01223A,use1mk011-03
ATBHM00243A,use1mk001
RIRIC00762A,use1mk002
LALAX04635A,usw2mk011-01
MNBIS00016B,use2mk002
SYSYR00499A,use1mk003
CHIND00476B,use2mk002
BOBOS00789A,use1mk002
BOBOS00153A,use1mk002
SDSAN00010A,usw2mk001
JKJAX00116A,use1mk011-05
LALAX03048A,usw2mk011-03
NAMEM00380A,use1mk011-04
STSPI00018A,use2mk003
BOBOS00429A,use1mk002
DNDEN00022A,usw2mk011-02
LSSNA02069A,usw2mk011-02
SESEA00141B,usw2mk001
AUAUS03053B,use2mk004
SYSYR00139A,use1mk002
ORTPA00338A,use1mk011-05
ATATL00897C,use1mk001
KCMCI00133A,use2mk004
CLCAE00290A,use1mk001
JKRLA00348A,use2mk004
ATATL00135A,use1mk011-06
NAMEM00053A,use1mk003
DCWDC00972A,use1mk011-04
CHCHI00020A,use2mk011-01
PHPHL00635B,use1mk011-03
MIMIA00688A,use1mk011-05
ATBHM00123B,use1mk003
BOBOS00273B,use1mk002
SDSAN00036A,usw2mk001
JKMGM00267A,use1mk011-05
SESEA00261A,usw2mk001
PXPHX00392A,usw2mk011-01
ATBHM00003A,use1mk001
DCWDC00852B,use1mk011-04
HOHOU00709B,use2mk001
CVPIT00211A,use2mk001
BOBOS00669B,use1mk002
NAMEM00209B,use1mk003
PHHAR00051B,use1mk001
BOBDL00083A,use1mk002
DEDET00554A,use2mk002
KCMCI00253B,use2mk004
SESEA00417B,usw2mk001
NAMEM00173A,use1mk003
AUAUS00440A,use2mk011-02
JKJAN00148A,use2mk004
LALAX02064A,usw2mk011-02
CVCLE00158A,use2mk001
LSSNA02189A,usw2mk011-03
BOBOS01017B,use1mk002
ORTPA00458A,use1mk011-05
PRPDX00057A,usw2mk011-01
JKMGM00147A,use1mk011-05
PXPHX00463A,usw2mk001
CLCAE00170A,use1mk001
PHPHL00374B,use1mk001
JKRLA00228A,use2mk004
SCSAC00002B,usw2mk001
ATBHM00389A,use1mk003
KCRMO00046A,use2mk004
CLCAE00326A,use1mk001
DEDET00434A,use2mk002
CLRDU00004A,use1mk001
PXPHX00548A,usw2mk011-01
BOBOS00393A,use1mk002
NJJER01343B,use1mk011-03
CHIND00450A,use2mk002
JKJAN00026A,use2mk004
NJJER01105C,use1mk002
AUWCO00028A,use2mk011-02
ATATL00905B,use1mk001
MNMSP00325A,use2mk011-01
LSSNA00017B,usw2mk011-02
NJJER01129C,use1mk011-03
CLGSP00101A,use1mk001
NABNA00215A,use1mk003
DCWDC00137A,use1mk003
BOHVN00189A,use1mk002
NJJER01249A,use1mk011-03
JKMGM00148A,use1mk011-05
DCWDC00970A,use1mk011-04
NYNYC02143A,use1mk011-02
NJJER02055A,use1mk002
KCRMO00047A,use2mk004
DEGRR00090A,use2mk011-01
CLGSP00221A,use1mk001
NJJER01714A,use1mk002
CHIND00330B,use2mk002
ATATL00743A,use1mk011-01
PXELP00031A,usw2mk011-01
SYSYR00473A,use1mk002
BOAUG00012A,use1mk002
DCSBY00009A,use1mk003
ATATL00895B,use1mk001
SFSFO00452A,usw2mk011-01
NAOWB00005A,use2mk003
PXABQ00035C,usw2mk001
NYNYC02023A,use1mk011-02
RIRVA00054A,use1mk003
JKJAN00146A,use2mk004
JKRLA00441A,use2mk004
NABNA00085A,use1mk003
NJJER01369B,use1mk011-03
SFSFO00212B,usw2mk011-01
LSSNA02042B,usw2mk011-03
CLGSP00341A,use1mk001
JKMGM00028A,use1mk011-05
NASDF00059A,use2mk003
ATATL00863A,use1mk011-01
NJJER01009B,use1mk011-03
PRPDX00032A,usw2mk011-01
ATBHM00481A,use1mk003
SYSYR03003A,use1mk002
JKJAN00028A,use2mk004
NJJER01489A,use1mk011-03
PRPDX00402A,usw2mk011-01
NAMEM00422A,use1mk003
ATATL00983A,use1mk011-06
CHCHI00168A,use2mk011-01
STSTL00214A,use2mk003
CVPIT00117A,use2mk001
NASDF00179A,use2mk003
NAMEM00140A,use1mk011-04
PHCPA00024B,use1mk001
MIMIA00209A,use1mk011-06
NYNYC01804B,use1mk011-02
JKRLA00321A,use2mk004
MWMKE00256A,use2mk001
NYNYC02289A,use1mk011-02
AUAUS00321A,use2mk011-02
MWMKE00136B,use2mk004
ATBHM00361A,use1mk003
LALAX00038A,usw2mk011-03
MIMIA00199A,use1mk011-06
CLCHS00120A,use1mk011-04
ORMCO00046A,use1mk003
SYSYR03029A,use1mk002
STSTL00334A,use2mk003
LALAX04266A,usw2mk011-03
CVCLE00277A,use2mk001
ALALB00001C,use1mk003
NAMEM00260A,use1mk011-04
DNDEN00260D,usw2mk011-02
LSSNA02162A,usw2mk011-02
MIMIA00329A,use1mk011-06
NYNYC01924B,use1mk011-02
SYSYR00509A,use1mk003
ATATL00253A,use1mk011-01
CLCLT03020A,use1mk001
LALAX04146A,usw2mk011-02
CVCMH00335A,use2mk001
SESEA00046A,usw2mk001
NYNYC02169A,use1mk011-02
CLFAY00134A,use1mk001
CHCHI00048A,use2mk011-01
JKRLA00191A,use2mk004
BOBOS00034A,use1mk002
MWMKE00016B,use2mk003
ATBHM00241A,use1mk003
JKRLA00201A,use2mk004
CLCHS00240A,use1mk011-04
NAMEM00416A,use1mk011-05
CVCLE00397A,use2mk001
MWRWI00050A,use2mk001
STSPI00110A,use2mk003
DNDEN00380B,usw2mk011-02
PHCPA00024A,use1mk001
CLGSP00007A,use1mk001
CHIND00356A,use2mk002
ATATL00381A,use1mk001
NYNYC01186A,use1mk002
AUAUS00201A,use2mk011-02
CLCLT00500A,use1mk001
