site,cz_data
BOBOS00246A,use1mk002
DCWDC00825A,use1mk011-04
SLIDA03000A,usw2mk001
PXELP03002A,usw2mk001
NJJER01281A,use1mk011-03
CVCMH00133A,use2mk001
BOBOS00126B,use1mk002
MWMKE00177A,use2mk003
JKJAX00187A,use1mk011-05
DEGRR03033A,use2mk011-01
ORTPA00142A,use1mk011-05
SFSFO00982A,usw2mk011-01
KCMCI00084B,use2mk004
JKJAX00067C,use1mk011-05
SYSYR00428A,use1mk002
AUCRP03046A,use2mk004
DCWDC00696B,use1mk003
ORTPA00022A,use1mk011-05
CVCVG00136A,use2mk011-02
NJJER01317A,use1mk011-03
NJJER01043A,use1mk002
BOBOS00090A,use1mk002
KCOMA00054B,use2mk004
JKRLA00059A,use2mk004
LSSNA02017A,usw2mk011-03
STSPI00088A,use2mk003
AUAUS03027A,use2mk004
PRPDX00071A,usw2mk011-01
NYNYC01259D,use1mk011-02
HOHOU00736B,use2mk001
LALAX02037A,usw2mk011-03
NJJER01161A,use1mk011-03
CVPIT00173A,use2mk011-02
DCWDC00945A,use1mk011-04
CLRDU00284A,use1mk001
BOBDL00044A,use1mk002
OKFYV00140A,use2mk003
ATBHM00086A,use1mk003
MWMKE00057A,use2mk001
JKRLA00402A,use2mk004
ORMCO00085A,use1mk003
SDLAS00084B,usw2mk001
ATATL00695A,use1mk011-01
STSTL00242A,use2mk003
ATBHM00430A,use1mk001
CVCMH00399A,use2mk001
STSPI00062A,use2mk003
NAOWB00032A,use2mk003
ALALB00070A,use1mk003
CVCVG00016A,use2mk011-02
NYNYC02181A,use1mk011-02
CLGSP00207A,use1mk001
MWMKE00296A,use2mk003
DCSBY00036B,use1mk003
SFSFO00863A,usw2mk011-01
DATYR00005A,use2mk011-02
LSSNA02136A,usw2mk011-02
NABNA00242A,use1mk003
SEGEG00162B,usw2mk001
PRPDX00320A,usw2mk011-01
SFSFO01117A,usw2mk011-01
CVCMH00409A,use2mk001
OKROK00005B,use2mk003
JKRLA00392A,use2mk004
ATBHM00310A,use1mk001
ATSAV00038B,use1mk001
NYNYC02061A,use1mk011-02
ATATL00825A,use1mk011-01
NAMEM00342A,use1mk003
CLFAY00192A,use1mk001
CVCMH00529A,use2mk001
DALBB00021A,use2mk011-02
CLGSP00327A,use1mk001
ATATL00455A,use1mk011-06
PRPDX00440A,usw2mk011-01
MWMKE00176A,use2mk001
LSSNA02016B,usw2mk011-02
NABNA00122A,use1mk003
SLIDA00015A,usw2mk001
SFSFO00503C,usw2mk011-01
CLCLT00463A,use1mk001
SYSYR00402A,use1mk002
JKRLA00152A,use2mk004
MIMIA00115A,use1mk011-06
DADAL00361A,use2mk002
SCMCA00132A,usw2mk001
NABNA00002A,use1mk003
BOHVN00149A,use1mk002
ATATL00335B,use1mk011-01
PHCPA03076A,use1mk001
CLGSP00171A,use1mk001
BOBOS00950A,use1mk002
MNDLH00080A,use2mk002
DCSBY00010A,use1mk003
RIRIC00471A,use1mk002
ORTPA00538A,use1mk011-05
SCMCA00012A,usw2mk001
NJJER02028B,use1mk002
CHCHI00963A,use2mk011-01
DEMBS00048B,use2mk002
DNDEN00008A,usw2mk001
NJJER01187A,use1mk011-03
PRPDX00466A,usw2mk011-01
STEMO00038A,use2mk011-02
CVCVG00353A,use2mk001
SYSYR03044A,use1mk002
SYSYR00522A,use1mk002
MWMKE00150A,use2mk002
ATBHM00456B,use1mk001
CLGSP00291A,use1mk001
JKRLA00428A,use2mk004
AUAUS03000A,use2mk004
CVCMH00373A,use2mk001
ATATL00215A,use1mk011-06
DATYR03018A,use2mk002
JKRLA00308C,use2mk004
JKRLA00032A,use2mk004
NYNYC02217A,use1mk011-02
JKJAX00160B,use1mk011-05
NAMEM00101A,use1mk011-04
DADAL00481A,use2mk002
DNDEN00128A,usw2mk001
AUAUS00493A,use2mk011-02
JKJAN00215A,use2mk004
MWMKE00030B,use2mk002
JKJAX00280A,use1mk011-05
NABNA00268A,use1mk003
ORMCO00215A,use1mk003
OKOKC20004B,use2mk003
ATBHM00180A,use1mk001
NYNYC01235B,use1mk002
BOBOS00007A,use1mk002
CHCHI00843B,use2mk011-01
CVCLE00238A,use2mk001
NAMEM00367A,use1mk011-04
CHIND00394A,use2mk002
RIRIC00231A,use1mk002
CHCHI00723A,use2mk011-01
DETOL00062A,use2mk011-01
AUAUS00399A,use2mk011-02
KNTYS00175A,use1mk002
KNAVL00110A,use1mk002
DADAL00001A,use2mk002
CVCMH00493A,use2mk001
SFSFO00529D,usw2mk011-01
CVCRW00084A,use2mk001
JKMSY00059A,use2mk004
CVCMH00503A,use2mk001
DADAL00387D,use2mk002
ATSAV00012A,use1mk001
ORTPA00512A,use1mk003
HOHOU00126A,use2mk001
PHHAR00007A,use1mk001
STSTL00028A,use2mk003
LSSNA02230A,usw2mk011-02
NYNYC01475C,use1mk002
CVCVG00351A,use2mk011-02
NYNYC01843A,use1mk011-02
PXPHX00615A,usw2mk011-01
NJJER02002A,use1mk002
NJJER01892A,use1mk002
DCWDC00334A,use1mk011-04
JKMGM00044A,use2mk004
DNDEN00088A,usw2mk011-02
BOBOS00830A,use1mk002
AUWCO00072A,use2mk011-02
PHPHL00315A,use1mk011-03
CVCLE00358B,use2mk001
CLCLT00343A,use1mk001
ORMCO00455A,use1mk003
CHIND00274A,use2mk002
KCRNE00047A,use2mk004
BOBOS00976E,use1mk002
PHPHL00187B,use1mk001
CVCLE00478A,use2mk001
CHCHI00989A,use2mk011-01
MWMKE00270A,use2mk004
LSSNA02110A,usw2mk011-02
HOHOU00246A,use2mk001
STSTL00148A,use2mk003
SEBIL00028C,usw2mk001
CLCHS00174A,use1mk001
SFSFO00253B,usw2mk011-01
KNTYS00425A,use1mk002
RIRIC00111A,use1mk002
DADAL00267A,use2mk002
NYNYC01725B,use1mk002
DADAL00517B,use2mk002
BOBOS00580A,use1mk002
DEGRR00140A,use2mk011-01
LSSNA00099B,usw2mk011-02
BOBOS00856A,use1mk002
NJJER01928B,use1mk002
DATYR00007B,use2mk002
NASDF00114A,use2mk003
PXPHX00156B,usw2mk001
CHIND00034A,use2mk002
SCSAC00175A,usw2mk011-02
SLBOI00032A,usw2mk001
KCRNE00021A,use2mk004
CLCLT00369A,use1mk001
RIRIC00377A,use1mk002
CLCHS00208A,use1mk011-04
CLGSP00077A,use1mk001
ORTPA00382A,use1mk003
CHIND00154A,use2mk002
LSSNA00109B,usw2mk011-02
CLGSP00051A,use1mk001
NYNYC01605C,use1mk002
NJJER01890A,use1mk011-03
PHCPA00065A,use1mk001
DCWDC00214A,use1mk011-04
CHCHI00869B,use2mk011-01
CVCLE00212A,use2mk001
DADAL00241A,use2mk002
PHPHL00065A,use1mk011-03
KNTYS00305A,use1mk002
NYNYC01989B,use1mk011-02
RIRIC00257A,use1mk002
CHCHI00749A,use2mk011-01
CLCLT00093A,use1mk001
NYNYC01475D,use1mk002
ATATL00575A,use1mk011-01
CLGSP00197A,use1mk001
CLCHS00052A,use1mk011-04
STSTL00268A,use2mk003
KNAVL00136A,use1mk002
PHCPA03050A,use1mk001
CHCHI00691A,use2mk002
KNTYS00295A,use1mk002
NYNYC01723B,use1mk011-02
SCMCA00038A,usw2mk001
DADAL00121A,use2mk002
PHPHL00185A,use1mk011-03
SDSAN00463B,usw2mk001
CVCLE00332A,use2mk001
OKOKC00006A,use2mk003
CLCLT00103A,use1mk001
STSTL00002A,use2mk003
STEMO00012A,use2mk011-02
BOBOS00976B,use1mk002
CLRDU03057A,use1mk001
BOBOS00710A,use1mk002
NJJER01770A,use1mk011-03
AUCRP03045A,use2mk004
CHCHI00475A,use2mk011-01
HOHOU00737A,use2mk001
LSSNA03084A,usw2mk011-02
BOBOS00737A,use1mk002
NYNYC02184A,use1mk002
PXPHX00526A,usw2mk001
HOHOU00341A,use2mk001
SESEA00233A,usw2mk001
NJJER01410A,use1mk011-03
PXPHX00246A,usw2mk011-01
RIRIC00379A,use1mk002
BOBOS00617B,use1mk002
PHPHL00410A,use1mk011-03
AUAUS00014B,use2mk004
AUAUS03028A,use2mk004
DADAL00149A,use2mk002
ATATL00061B,use1mk001
DNDEN00366B,usw2mk001
MNMSP00103A,use2mk002
CVCLE00331A,use2mk001
PXPHX00396B,usw2mk001
PHPHL00530A,use1mk011-03
PXPHX00130A,usw2mk001
AUAUS00134A,use2mk004
SDSAN00488D,usw2mk001
JKTLH00068A,use1mk011-05
DNDEN00216A,usw2mk011-02
OKFYV00165C,use2mk003
DEDET00514A,use2mk002
DEDET00384A,use2mk002
NYNYC01234A,use1mk011-02
HOHOU00461A,use2mk001
CHCHI00701A,use2mk002
BOBOS00857A,use1mk002
NJJER01796A,use1mk011-03
CVPIT00054A,use2mk011-02
CVCLE00451A,use2mk001
DADAL00389A,use2mk002
ATATL00337A,use1mk001
RIRIC00259A,use1mk002
NJJER01650A,use1mk011-03
SESEA03007A,usw2mk001
MWRWI00019A,use2mk004
PXRAZ00047A,usw2mk001
NYNYC01354B,use1mk011-02
HOHOU00617A,use2mk001
JKTLH00148A,use2mk004
CLCHS00209A,use1mk011-04
KNAVL00138A,use1mk002
BOPWM00002A,use1mk002
SESEA00113B,usw2mk001
NJJER01530A,use1mk011-03
NJJER01280A,use1mk011-03
SESEA00499A,usw2mk001
LSSNA01057B,usw2mk011-02
DADAL00029A,use2mk002
OKOKC00008A,use2mk003
HOHOU00091A,use2mk001
ORTPA00262A,use1mk003
SYSYR00299A,use1mk002
SLSLC00075A,usw2mk001
BOHVN00148A,use1mk011-01
DNDEN00220A,usw2mk001
DNCPR00007A,usw2mk001
NYNYC02064A,use1mk002
DEGRR00144A,use2mk002
NYNYC01474C,use1mk011-02
KNAVL00018A,use1mk002
NJJER01901B,use1mk002
MNMSP00463A,use2mk002
OROCF00082A,use1mk003
PHPHL00556B,use1mk011-03
DEGRR00046A,use2mk011-01
CLRDU00533A,use1mk001
BOBOS00341E,use1mk002
BOBOS00581B,use1mk002
PHPHL00280A,use1mk011-03
DEDET00754A,use2mk002
KNTYS00056A,use1mk002
SEGEG00069A,usw2mk001
NYNYC01845B,use1mk002
PRPDX00098A,usw2mk011-01
RIRIC00497A,use1mk002
HOHOU00101A,use2mk001
ORTPA00169A,use1mk011-05
SESEA00473A,usw2mk001
DADAL00003B,use2mk002
CLCAE00124A,use1mk001
NYNYC01594B,use1mk011-02
SESEA00509A,usw2mk001
PHPHL00676A,use1mk011-03
SDSAN00102A,usw2mk001
SDSAN00368B,usw2mk001
RIRIC00139A,use1mk002
DEGRR00166A,use2mk011-01
HOHOU00487C,use2mk001
CLCAE00004A,use1mk001
DEDET00634A,use2mk002
OKFYV00045A,use2mk003
CLCHS00079A,use1mk011-04
PXPHX00406A,usw2mk001
RIRIC00507A,use1mk002
HOHOU00221A,use2mk001
DEGRR00144B,use2mk002
SCRNO00044A,usw2mk001
BOHVN00002A,use1mk011-01
SESEA00353A,usw2mk001
DNDEN00340B,usw2mk001
JKMSY00031A,use2mk004
SDSAN00092A,usw2mk001
DADAL00269A,use2mk002
SDSAN00248B,usw2mk001
NJJER01676A,use1mk011-03
BOBOS00461A,use1mk002
NJJER01891A,use1mk002
ATABY00006A,use1mk001
NJJER01188A,use1mk002
ORTPA00023A,use1mk011-05
CVCVG00231A,use2mk011-02
NAMEM00090A,use1mk011-04
PHPHL00771A,use1mk001
DNDEN00310A,usw2mk011-02
CLFAY00226A,use1mk011-04
ORTPA00419A,use1mk011-05
JKMGM00215A,use1mk011-05
BOPWM00028A,use1mk002
AUCRP00035A,use2mk004
OROCF00118A,use1mk003
CHIND00404A,use2mk002
SDSAN00128B,usw2mk001
CLGSP00301A,use1mk001
AUAUS03002B,use2mk004
CLRDU00679A,use1mk001
ATATL00823A,use1mk011-06
MIMIA00355A,use1mk011-05
RIRVA00001C,use1mk003
SYSYR00273A,use1mk002
ATBHM00215A,use1mk001
PRPDX00468A,usw2mk011-01
PXPHX00620A,usw2mk001
ATATL00705A,use1mk001
JKRLA00298A,use2mk004
KCOMA00053A,use2mk004
ATBHM00085A,use1mk001
MNMSP00005A,use2mk011-01
BOBOS00366A,use1mk011-02
JKJAX00068A,use1mk011-05
HOHOU00711A,use2mk001
SYSYR00403A,use1mk002
SYSYR00393B,use1mk002
STSTL00360A,use2mk003
LALAX02036B,usw2mk011-03
DALBB03037A,use2mk002
NAMEM00220A,use1mk011-04
SCSAC00087A,usw2mk001
JKMGM00085A,use1mk011-05
CVCMH03144A,use2mk001
OKLIT00106A,use2mk003
ATATL00084A,use1mk011-01
NYNYC02219A,use1mk011-02
BOBOS00220A,use1mk011-01
DEGRR00024A,use2mk002
BOHVN00122B,use1mk011-01
CLRDU00559A,use1mk001
NAOWB00058A,use2mk003
BOBOS00247A,use1mk002
NJJER01436A,use1mk011-03
MNRAP00005A,use2mk002
NAMEM00248A,use1mk003
ORTPA00289A,use1mk011-05
MNMSP00125A,use2mk011-01
LSSNA01151B,usw2mk011-02
MNMSP00129A,use2mk002
NJJER01186A,use1mk011-03
BOBOS00127B,use1mk002
JKJAX00188A,use1mk011-05
DCWDC00694A,use1mk011-04
JKJAN00085A,use2mk004
OKLIT00096B,use2mk003
SYSYR00429A,use1mk002
DALBB03011A,use2mk002
ORTPA00168A,use1mk003
PXPHX00366C,usw2mk011-01
PXPHX00090A,usw2mk011-01
CVPIT00174A,use2mk001
NJJER01042A,use1mk002
PHPHL00807A,use1mk001
CLRDU00043A,use1mk001
DEDET00144A,use2mk002
BOBOS00091A,use1mk002
JKRLA00058A,use2mk004
PXRAZ00021B,usw2mk001
NYNYC02089B,use1mk011-02
KCRMO00007A,use2mk004
BOBOS01076B,use1mk002
SESEA00019E,usw2mk001
CHCHI00115A,use2mk011-01
SYSYR00549A,use1mk002
SESEA00379A,usw2mk001
CLRDU00319A,use1mk001
BOBDL00045A,use1mk002
MWMKE00056A,use2mk001
SYSYR00153A,use1mk002
MNMSP00093A,use2mk002
CLRDU00163A,use1mk001
PHPHL00650A,use1mk011-03
JKJAX00041A,use1mk011-05
NYNYC01114B,use1mk011-02
OKLIT00070A,use2mk003
NJJER02027A,use1mk011-03
LSSNA01031B,usw2mk011-02
KCMCI00215A,use2mk004
RIRVA00121A,use1mk002
PRPDX00072A,usw2mk011-01
DCWDC00824A,use1mk011-04
HLHNL00034A,usw2mk011-01
PXPHX00500B,usw2mk001
PXELP03003A,usw2mk001
PRPDX00348A,usw2mk011-01
BOBOS00367A,use1mk002
DEDET00264A,use2mk002
SCNCA00024A,usw2mk001
MIMIA00595B,use1mk011-06
BOBDL00165A,use1mk002
HOHOU00581B,use2mk001
CVCVG00114B,use2mk001
ORTPA00143A,use1mk011-05
NJJER01040A,use1mk011-03
SESEA00139D,usw2mk001
LALAX01052C,usw2mk011-02
DCSBY00035A,use1mk003
JKJAX00042A,use1mk011-05
CVCVG00137A,use2mk011-01
JKRLA00271A,use2mk004
NAMEM00341A,use1mk003
HLHNL04005C,usw2mk011-01
NYNYC01116A,use1mk002
PRPDX00201C,usw2mk011-01
ORTPA00513A,use1mk011-05
RIRVA00027A,use1mk002
PRPDX00441A,usw2mk011-01
KNTYS00390A,use1mk002
STSTL00001A,use2mk003
MNMSP00484A,use2mk011-01
MWMKE00175A,use2mk001
OKOKC20003B,use2mk003
ORMCO00216A,use1mk003
PHPHL00282A,use1mk001
NABNA00121A,use1mk003
CLRDU00189A,use1mk001
JKRLA00151A,use2mk004
ORMCO00086A,use1mk003
CHCHI00478A,use2mk002
DEMBS00023A,use2mk002
NYNYC01236A,use1mk002
SCSAC00216A,usw2mk001
KCRNE00020A,use2mk004
CLGSP00172A,use1mk001
NJJER01041A,use1mk002
SCSAC00060B,usw2mk001
SLIDA00016B,usw2mk001
NAMEM00126A,use1mk011-04
NYNYC02182A,use1mk011-02
LSSNA02015A,usw2mk011-03
ATATL00704A,use1mk011-01
KNTYS00270A,use1mk002
STSTL00387B,use2mk003
STSTL00121A,use2mk003
SCMCA00013A,usw2mk001
SFSFO00862A,usw2mk011-01
SDLAS00083C,usw2mk001
DEGRR03032A,use2mk011-01
CLFAY00071A,use1mk001
LALAX04556A,usw2mk011-01
PHCPA00064A,use1mk001
STSPI00087B,use2mk003
OKROK00006B,use2mk003
MWMKE00055A,use2mk003
ATATL00334A,use1mk011-06
ATBHM00455B,use1mk001
ATATL00214A,use1mk011-01
STSTL00361A,use2mk003
CLGSP00292A,use1mk001
JKRLA00427A,use2mk004
NAMEM00246A,use1mk011-04
CVCMH00374A,use2mk001
PHPHL00042A,use1mk001
NYNYC02062A,use1mk011-02
CVCVG00354B,use2mk001
JKRLA00031A,use2mk004
ORMCO00456A,use1mk003
LSSNA01271A,usw2mk011-02
BOBOS00951C,use1mk002
JKJAX00161B,use1mk011-05
NAOWB00057A,use2mk003
DADAL00482A,use2mk002
NJJER01066B,use1mk011-03
AUAUS00494A,use2mk011-02
ORMCO00336B,use1mk003
MNMSP00124A,use2mk011-01
SCSAC00180A,usw2mk001
LSSNA02135C,usw2mk011-02
CLFAY00441A,use1mk001
NABNA00267A,use1mk003
ORMCO00180A,use1mk003
MIMIA00236A,use1mk011-06
STEMO00015A,use2mk003
BOBOS00128A,use1mk002
ATBHM00335A,use1mk001
AUAUS00504A,use2mk011-02
STSTL00241A,use2mk003
SCMCA00133A,usw2mk001
JKRLA00307A,use2mk004
PHCPA03077A,use1mk001
CHCHI00332A,use2mk002
STSPI00061A,use2mk003
RIRIC00472A,use1mk002
CVCMH00494A,use2mk001
CLGSP00302A,use1mk001
CHCHI00964A,use2mk011-01
MWMKE00295A,use2mk003
PHPHL00162B,use1mk001
AUAUS03001B,use2mk004
CVCMH00504A,use2mk001
PRPDX00321A,usw2mk011-01
CLFAY00107A,use1mk001
ATBHM00215C,use1mk001
JKRLA00297A,use2mk004
NYNYC02218B,use1mk011-02
KNTYS00400A,use1mk002
NABNA00147A,use1mk003
BOBOS00008C,use1mk002
CHCHI00608A,use2mk002
MIMIA00080A,use1mk011-06
ORMCO00060A,use1mk003
JKMGM00045A,use2mk004
DEGRR00165A,use2mk011-01
PHPHL00316A,use1mk011-03
BOBOS00831A,use1mk002
NASDF00139A,use2mk003
KNTYS00306A,use1mk002
CLCLT00344A,use1mk001
RIRIC00352A,use1mk002
KCRNE00046A,use2mk004
NYNYC01844B,use1mk011-02
PHCPA03051A,use1mk001
PHPHL00188B,use1mk001
SCSAC00270A,usw2mk011-02
KNTYS00296A,use1mk002
NASDF00019A,use2mk003
RIRIC00232B,use1mk002
ATATL00310B,use1mk001
HOHOU00247A,use2mk001
JKJAN00214A,use2mk004
DADAL00122A,use2mk002
PXPHX00157A,usw2mk001
PXPHX00460A,usw2mk011-01
SCSAC00150A,usw2mk011-02
SFSFO00252B,usw2mk011-01
CLRDU03056A,use1mk001
NYNYC01726B,use1mk002
BOBOS00711A,use1mk002
PHPHL03051A,use1mk001
CVCLE00237A,use2mk001
PXABQ00074A,usw2mk001
NJJER01927B,use1mk002
CLCLT00464A,use1mk001
CVCRW00119A,use2mk001
JKTLH00162A,use1mk011-05
CHIND00395A,use2mk002
NYNYC01724A,use1mk011-02
DNDEN00127B,usw2mk001
CHCHI00724A,use2mk011-01
NYNYC01846A,use1mk002
DADAL00362A,use2mk002
DETOL00063A,use2mk011-01
DCWDC00455A,use1mk011-04
OKOKC20029C,use2mk003
KNTYS00176A,use1mk002
KNAVL00111A,use1mk002
DADAL00002A,use2mk002
HOHOU00367A,use2mk001
PHPHL00436A,use1mk011-03
PHPHL00040B,use1mk011-03
DEDET00753A,use2mk002
CLGSP00078A,use1mk001
DCWDC00920A,use1mk003
SEGEG00043A,usw2mk001
ATSAV00011A,use1mk001
PHPHL00160A,use1mk011-03
