SITE_ID,RAN_SW_VENDOR,CUSTOM_K8_ID_CUS,CUSTOM_GNODEB_NAME,CUSTOM_GNODEB_SITE_NUMBER,CUSTOM_K8_ID_DUS
LALAX04010C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,1,10
LALAX04011A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,1,9
LALAX04012A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,2,6
LALAX04013C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,1,7
LALAX04014A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731011,2,11
LALAX04015A,Samsung,nan,LALAX731018,2,10
LALAX04016A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,3,1
LALAX04017A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,4,5
LALAX04018A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,2,11
LALAX04019A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,3,9
LALAX04020A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,5,6
LALAX04021C,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,6,8
LALAX04022B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731010,1,2
LALAX04023A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731023,1,2
LALAX04024A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731018,7,7
LALAX04025A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,2,7
LALAX04026B,Samsung,nan,LALAX731023,2,1
LALAX04027A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731020,4,9
LALAX04028A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,2,4
LALAX04029A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731006,3,1
LALAX04030A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731013,2,6
LALAX04031B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731019,3,6
LALAX04032A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731008,1,11
LALAX04032B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,,,
LALAX04033A,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731017,1,8
LALAX04034B,Samsung,sm-bedc-eks-cluster-prod-usw2laxb116p1-02,LALAX731009,3,5
