AOI,Region,Market,Vendor,Count of Sites,40% CU/DU Ready  Date,EDC ID (PEDC),AWS Region,
SNA,West,Los Angeles-South,Samsung,599,3/21/2023,LALAXP0001A,W2,SDDC11
SPI,Central,St. Louis,Mavenir,137,9/9/2022,CHCHIP0002A,E2,SDDC3
STL,Central,St. Louis,Mavenir,292,5/3/2022,STSTLP0001A,E2,SDDC3
SYR,Northeast,Syracuse,Mavenir,377,8/1/2022,NJJERP0001A,E1,SDDC2
TLH,South,Jacksonville,Samsung,104,3/12/2023,ATATLP0002A,E1,SDDC11
TOL,Central,Detroit,Samsung,63,2/6/2023,CVCMHP0001A,E2,SDDC11
TPA,South,Orlando,Samsung,410,3/7/2023,ORTPAL0001A,E1,SDDC11
TYR,South,Dallas,Samsung,53,4/25/2023,DADALP0001A,E2,SDDC11
TYS,Central,Knoxville,Mavenir,377,5/20/2022,ATATLP0002A,E1,SDDC2
VER,Northeast,Albany,Mavenir,10,2/25/2023,BOBOSP0001A,E1,SDDC3
WCO,South,Austin,Samsung,51,2/12/2023,DADALP0001A,E2,SDDC11
WDC,Northeast,Washington DC,Samsung,649,2/8/2023,DADALP0001A,E1,SDDC11
